Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
HE,T0002,HE T0002 BHZ ,38.200000,115.390000,0.0,70000000000.0,,
SC,VX001,SC VX001 BHZ ,28.740000,99.870000,0.0,70000000000.0,,
XJ,BQ001,XJ BQ001 BHZ ,44.010000,89.600000,0.0,70000000000.0,,
SD,QP002,SD QP002 BHZ ,35.680000,117.640000,0.0,70000000000.0,,
FJ,G5014,FJ G5014 BHZ ,25.530000,117.900000,0.0,70000000000.0,,
YN,J2312,YN J2312 BHZ ,24.300000,100.920000,0.0,70000000000.0,,
HL,C0002,HL C0002 BHZ ,44.580000,129.670000,0.0,70000000000.0,,
YN,M0212,YN M0212 BHZ ,24.910000,99.330000,0.0,70000000000.0,,
SD,Q0087,SD Q0087 BHZ ,35.260000,117.800000,0.0,70000000000.0,,
NX,B000E,NX B000E BHZ ,38.990000,106.750000,0.0,70000000000.0,,
SC,B2704,SC B2704 BHZ ,32.480000,104.380000,0.0,70000000000.0,,
HA,A0026,HA A0026 BHZ ,34.670000,113.920000,0.0,70000000000.0,,
SD,E0005,SD E0005 BHZ ,37.120000,118.350000,0.0,70000000000.0,,
LN,B003A,LN B003A BHZ ,39.530000,122.170000,0.0,70000000000.0,,
HE,MEC,HE MEC BHZ ,38.060000,117.110000,0.0,70000000000.0,,
HE,E0009,HE E0009 BHZ ,37.430000,114.500000,0.0,70000000000.0,,
GS,H0014,GS H0014 BHZ ,38.120000,103.160000,0.0,70000000000.0,,
YN,N0306,YN N0306 BHZ ,24.290000,98.190000,0.0,70000000000.0,,
NX,C002C,NX C002C BHZ ,37.160000,105.950000,0.0,70000000000.0,,
YN,F0301,YN F0301 BHZ ,24.320000,102.630000,0.0,70000000000.0,,
XZ,C0008,XZ C0008 BHZ ,29.370000,91.290000,0.0,70000000000.0,,
GS,H0029,GS H0029 BHZ ,36.970000,102.630000,0.0,70000000000.0,,
SC,A1606,SC A1606 BHZ ,30.440000,104.140000,0.0,70000000000.0,,
GS,H001D,GS H001D BHZ ,38.160000,103.250000,0.0,70000000000.0,,
FJ,YTGY,FJ YTGY BHZ ,25.840000,118.470000,0.0,70000000000.0,,
GD,P2405,GD P2405 BHZ ,24.220000,114.990000,0.0,70000000000.0,,
YN,M2105,YN M2105 BHZ ,24.670000,99.100000,0.0,70000000000.0,,
HE,AC001,HE AC001 BHZ ,38.050000,114.460000,0.0,70000000000.0,,
GD,M2306,GD M2306 BHZ ,23.940000,116.250000,0.0,70000000000.0,,
XJ,HCXHY,XJ HCXHY BHZ ,44.010000,81.030000,0.0,70000000000.0,,
SC,W3317,SC W3317 BHZ ,28.410000,101.850000,0.0,70000000000.0,,
HA,B0010,HA B0010 BHZ ,34.840000,115.030000,0.0,70000000000.0,,
SC,VF001,SC VF001 BHZ ,30.680000,101.390000,0.0,70000000000.0,,
XJ,P0034,XJ P0034 BHZ ,40.070000,76.710000,0.0,70000000000.0,,
YN,L2411,YN L2411 BHZ ,25.750000,100.590000,0.0,70000000000.0,,
SC,A2901,SC A2901 BHZ ,30.480000,103.710000,0.0,70000000000.0,,
YN,C2816,YN C2816 BHZ ,27.740000,104.140000,0.0,70000000000.0,,
SD,D001F,SD D001F BHZ ,35.160000,117.150000,0.0,70000000000.0,,
XJ,Q0087,XJ Q0087 BHZ ,37.630000,77.380000,0.0,70000000000.0,,
SC,Q2102,SC Q2102 BHZ ,28.500000,104.390000,0.0,70000000000.0,,
XJ,P0006,XJ P0006 BHZ ,40.840000,77.240000,0.0,70000000000.0,,
QH,A0047,QH A0047 BHZ ,36.760000,101.310000,0.0,70000000000.0,,
YN,CQJ02,YN CQJ02 BHZ ,27.250000,102.920000,0.0,70000000000.0,,
SN,F0009,SN F0009 BHZ ,33.510000,105.920000,0.0,70000000000.0,,
SC,W3307,SC W3307 BHZ ,28.210000,102.170000,0.0,70000000000.0,,
YN,G2503,YN G2503 BHZ ,23.860000,102.350000,0.0,70000000000.0,,
XJ,F000D,XJ F000D BHZ ,43.730000,81.410000,0.0,70000000000.0,,
HE,B0041,HE B0041 BHZ ,39.380000,118.590000,0.0,70000000000.0,,
SC,B2715,SC B2715 BHZ ,32.110000,104.800000,0.0,70000000000.0,,
SC,F8304,SC F8304 BHZ ,31.310000,104.100000,0.0,70000000000.0,,
XJ,B0052,XJ B0052 BHZ ,44.830000,86.430000,0.0,70000000000.0,,
GD,N8101,GD N8101 BHZ ,23.030000,115.840000,0.0,70000000000.0,,
YN,R0104,YN R0104 BHZ ,28.300000,99.630000,0.0,70000000000.0,,
NX,C001C,NX C001C BHZ ,37.890000,106.080000,0.0,70000000000.0,,
SD,JD002,SD JD002 BHZ ,35.940000,116.460000,0.0,70000000000.0,,
SC,WD001,SC WD001 BHZ ,27.200000,102.080000,0.0,70000000000.0,,
YN,M8104,YN M8104 BHZ ,25.200000,98.330000,0.0,70000000000.0,,
YN,D2504,YN D2504 BHZ ,25.810000,104.290000,0.0,70000000000.0,,
FJ,A5015,FJ A5015 BHZ ,25.860000,119.520000,0.0,70000000000.0,,
GS,L004D,GS L004D BHZ ,35.280000,106.090000,0.0,70000000000.0,,
GX,C0002,GX C0002 BHZ ,25.530000,110.700000,0.0,70000000000.0,,
TJ,CHK,TJ CHK BHZ ,39.520000,117.210000,0.0,70000000000.0,,
XJ,F0086,XJ F0086 BHZ ,43.990000,81.490000,0.0,70000000000.0,,
QH,DH026,QH DH026 BHZ ,34.730000,101.610000,0.0,70000000000.0,,
GD,XFY,GD XFY BHZ ,24.180000,114.150000,0.0,70000000000.0,,
GD,X0605,GD X0605 BHZ ,22.890000,113.120000,0.0,70000000000.0,,
FJ,DS002,FJ DS002 BHZ ,24.480000,118.100000,0.0,70000000000.0,,
YN,G2810,YN G2810 BHZ ,22.940000,102.690000,0.0,70000000000.0,,
FJ,QZH,FJ QZH BHZ ,24.940000,118.590000,0.0,70000000000.0,,
XJ,B000C,XJ B000C BHZ ,43.710000,86.930000,0.0,70000000000.0,,
SD,J0030,SD J0030 BHZ ,36.210000,116.950000,0.0,70000000000.0,,
HI,C0014,HI C0014 BHZ ,19.750000,109.710000,0.0,70000000000.0,,
SD,H0047,SD H0047 BHZ ,35.490000,116.390000,0.0,70000000000.0,,
GS,J002F,GS J002F BHZ ,35.110000,104.430000,0.0,70000000000.0,,
FJ,J1003,FJ J1003 BHZ ,26.940000,119.930000,0.0,70000000000.0,,
HE,E0015,HE E0015 BHZ ,36.860000,115.370000,0.0,70000000000.0,,
GS,P0016,GS P0016 BHZ ,34.560000,103.640000,0.0,70000000000.0,,
YN,J2816,YN J2816 BHZ ,22.510000,100.360000,0.0,70000000000.0,,
YN,C2714,YN C2714 BHZ ,27.610000,105.130000,0.0,70000000000.0,,
JX,B0004,JX B0004 BHZ ,24.960000,115.650000,0.0,70000000000.0,,
SD,QL001,SD QL001 BHZ ,34.980000,118.290000,0.0,70000000000.0,,
SD,Q006E,SD Q006E BHZ ,35.510000,118.530000,0.0,70000000000.0,,
HA,E0034,HA E0034 BHZ ,35.860000,114.390000,0.0,70000000000.0,,
XJ,A0011,XJ A0011 BHZ ,43.950000,88.000000,0.0,70000000000.0,,
GD,J8301,GD J8301 BHZ ,22.490000,112.560000,0.0,70000000000.0,,
XJ,N0045,XJ N0045 BHZ ,41.510000,82.240000,0.0,70000000000.0,,
GS,EQ002,GS EQ002 BHZ ,34.560000,105.560000,0.0,70000000000.0,,
SD,D0002,SD D0002 BHZ ,34.950000,117.510000,0.0,70000000000.0,,
HA,E002C,HA E002C BHZ ,35.900000,114.670000,0.0,70000000000.0,,
YN,YUM,YN YUM BHZ ,25.690000,101.860000,0.0,70000000000.0,,
SD,M003A,SD M003A BHZ ,37.520000,117.860000,0.0,70000000000.0,,
SD,H0004,SD H0004 BHZ ,35.470000,116.200000,0.0,70000000000.0,,
HE,J0051,HE J0051 BHZ ,37.620000,116.510000,0.0,70000000000.0,,
SX,L0005,SX L0005 BHZ ,36.610000,111.710000,0.0,70000000000.0,,
QH,D0008,QH D0008 BHZ ,35.300000,102.220000,0.0,70000000000.0,,
GD,J0402,GD J0402 BHZ ,22.580000,113.110000,0.0,70000000000.0,,
XJ,TEKQT,XJ TEKQT BHZ ,42.900000,81.770000,0.0,70000000000.0,,
FJ,B4301,FJ B4301 BHZ ,25.310000,119.210000,0.0,70000000000.0,,
GD,M8104,GD M8104 BHZ ,24.430000,115.750000,0.0,70000000000.0,,
CQ,BL001,CQ BL001 BHZ ,29.380000,106.530000,0.0,70000000000.0,,
GD,J8513,GD J8513 BHZ ,22.190000,112.300000,0.0,70000000000.0,,
GS,P0045,GS P0045 BHZ ,34.830000,102.570000,0.0,70000000000.0,,
FJ,B1005,FJ B1005 BHZ ,25.650000,119.040000,0.0,70000000000.0,,
GS,PZ001,GS PZ001 BHZ ,34.870000,103.860000,0.0,70000000000.0,,
XJ,A0008,XJ A0008 BHZ ,43.660000,87.770000,0.0,70000000000.0,,
ZJ,C0002,ZJ C0002 BHZ ,27.550000,119.720000,0.0,70000000000.0,,
YN,M8111,YN M8111 BHZ ,24.720000,98.560000,0.0,70000000000.0,,
SC,Q2901,SC Q2901 BHZ ,28.780000,104.300000,0.0,70000000000.0,,
TJ,KZ001,TJ KZ001 BHZ ,38.930000,117.460000,0.0,70000000000.0,,
HE,E0041,HE E0041 BHZ ,37.140000,115.660000,0.0,70000000000.0,,
SC,51QCQ,SC 51QCQ BHZ ,32.490000,104.930000,0.0,70000000000.0,,
SC,V3171,SC V3171 BHZ ,31.040000,99.580000,0.0,70000000000.0,,
GS,FG210,GS FG210 BHZ ,40.990000,95.820000,0.0,70000000000.0,,
SC,E0201,SC E0201 BHZ ,28.870000,105.370000,0.0,70000000000.0,,
TJ,XZZ,TJ XZZ BHZ ,38.660000,117.190000,0.0,70000000000.0,,
QH,BL003,QH BL003 BHZ ,36.480000,102.270000,0.0,70000000000.0,,
YN,D8123,YN D8123 BHZ ,26.180000,104.100000,0.0,70000000000.0,,
HE,E0006,HE E0006 BHZ ,37.290000,115.130000,0.0,70000000000.0,,
GD,VH003,GD VH003 BHZ ,23.020000,116.470000,0.0,70000000000.0,,
SX,L0098,SX L0098 BHZ ,36.120000,111.300000,0.0,70000000000.0,,
XZ,ES002,XZ ES002 BHZ ,31.890000,93.780000,0.0,70000000000.0,,
XZ,A0002,XZ A0002 BHZ ,29.710000,91.170000,0.0,70000000000.0,,
HE,B0059,HE B0059 BHZ ,39.260000,118.970000,0.0,70000000000.0,,
XJ,CS001,XJ CS001 BHZ ,44.300000,86.020000,0.0,70000000000.0,,
LN,B000D,LN B000D BHZ ,39.500000,122.600000,0.0,70000000000.0,,
XZ,CJ001,XZ CJ001 BHZ ,29.140000,92.580000,0.0,70000000000.0,,
YN,M0203,YN M0203 BHZ ,25.180000,99.270000,0.0,70000000000.0,,
SD,A0036,SD A0036 BHZ ,36.750000,117.220000,0.0,70000000000.0,,
YN,J2414,YN J2414 BHZ ,23.540000,100.200000,0.0,70000000000.0,,
GS,N0015,GS N0015 BHZ ,35.450000,103.430000,0.0,70000000000.0,,
XJ,AY001,XJ AY001 BHZ ,43.820000,87.550000,0.0,70000000000.0,,
GS,SUNHC,GS SUNHC BHZ ,37.830000,102.010000,0.0,70000000000.0,,
FJ,C5808,FJ C5808 BHZ ,24.530000,118.570000,0.0,70000000000.0,,
XJ,P0071,XJ P0071 BHZ ,39.840000,75.560000,0.0,70000000000.0,,
SC,A1401,SC A1401 BHZ ,30.880000,104.120000,0.0,70000000000.0,,
FJ,XMJM,FJ XMJM BHZ ,24.650000,117.970000,0.0,70000000000.0,,
GD,Q8108,GD Q8108 BHZ ,22.240000,111.770000,0.0,70000000000.0,,
YN,CSJ01,YN CSJ01 BHZ ,28.590000,103.980000,0.0,70000000000.0,,
YN,PYL04,YN PYL04 BHZ ,26.800000,99.840000,0.0,70000000000.0,,
GS,HG003,GS HG003 BHZ ,37.480000,103.530000,0.0,70000000000.0,,
HE,R0031,HE R0031 BHZ ,38.950000,116.310000,0.0,70000000000.0,,
SC,Q2303,SC Q2303 BHZ ,28.690000,105.130000,0.0,70000000000.0,,
YN,EL002,YN EL002 BHZ ,25.300000,101.920000,0.0,70000000000.0,,
FJ,J8001,FJ J8001 BHZ ,27.200000,120.200000,0.0,70000000000.0,,
GD,K0414,GD K0414 BHZ ,21.700000,111.410000,0.0,70000000000.0,,
YN,P2303,YN P2303 BHZ ,26.600000,101.060000,0.0,70000000000.0,,
GS,P001A,GS P001A BHZ ,34.970000,103.570000,0.0,70000000000.0,,
YN,M2103,YN M2103 BHZ ,24.720000,99.290000,0.0,70000000000.0,,
GS,E0028,GS E0028 BHZ ,34.860000,105.810000,0.0,70000000000.0,,
YN,RD005,YN RD005 BHZ ,28.940000,99.020000,0.0,70000000000.0,,
SD,Q0072,SD Q0072 BHZ ,35.590000,118.470000,0.0,70000000000.0,,
SD,J001F,SD J001F BHZ ,35.910000,117.510000,0.0,70000000000.0,,
GD,P2101,GD P2101 BHZ ,23.700000,114.810000,0.0,70000000000.0,,
XJ,Q000D,XJ Q000D BHZ ,39.330000,77.610000,0.0,70000000000.0,,
FJ,J4003,FJ J4003 BHZ ,27.260000,119.460000,0.0,70000000000.0,,
XJ,K0002,XJ K0002 BHZ ,43.050000,87.390000,0.0,70000000000.0,,
GD,Q0409,GD Q0409 BHZ ,22.010000,111.930000,0.0,70000000000.0,,
BJ,MD003,BJ MD003 BHZ ,39.690000,116.310000,0.0,70000000000.0,,
GS,D002C,GS D002C BHZ ,36.500000,104.530000,0.0,70000000000.0,,
HA,G0001,HA G0001 BHZ ,35.170000,114.640000,0.0,70000000000.0,,
SC,V2302,SC V2302 BHZ ,30.980000,102.030000,0.0,70000000000.0,,
GD,H8410,GD H8410 BHZ ,23.330000,112.660000,0.0,70000000000.0,,
YN,MLY01,YN MLY01 BHZ ,25.120000,99.150000,0.0,70000000000.0,,
SX,LY002,SX LY002 BHZ ,36.150000,111.190000,0.0,70000000000.0,,
JS,JIH,JS JIH BHZ ,32.950000,119.030000,0.0,70000000000.0,,
GS,A0017,GS A0017 BHZ ,35.810000,104.290000,0.0,70000000000.0,,
QH,C0035,QH C0035 BHZ ,37.900000,101.010000,0.0,70000000000.0,,
GD,N2101,GD N2101 BHZ ,22.850000,115.450000,0.0,70000000000.0,,
GS,K0046,GS K0046 BHZ ,33.910000,106.300000,0.0,70000000000.0,,
SC,UY007,SC UY007 BHZ ,33.000000,102.970000,0.0,70000000000.0,,
LN,H0021,LN H0021 BHZ ,40.060000,122.330000,0.0,70000000000.0,,
SC,CNSH,SC CNSH BHZ ,29.110000,104.660000,0.0,70000000000.0,,
QH,HUY,QH HUY BHZ ,36.660000,101.190000,0.0,70000000000.0,,
NX,A0022,NX A0022 BHZ ,38.290000,106.070000,0.0,70000000000.0,,
YN,D2602,YN D2602 BHZ ,26.640000,103.700000,0.0,70000000000.0,,
GS,L001C,GS L001C BHZ ,35.130000,105.720000,0.0,70000000000.0,,
TJ,WT001,TJ WT001 BHZ ,39.030000,116.770000,0.0,70000000000.0,,
TJ,CHT,TJ CHT BHZ ,39.230000,117.370000,0.0,70000000000.0,,
GS,XHEJX,GS XHEJX BHZ ,33.990000,105.190000,0.0,70000000000.0,,
GD,V8107,GD V8107 BHZ ,23.500000,116.180000,0.0,70000000000.0,,
SD,A0005,SD A0005 BHZ ,37.080000,117.000000,0.0,70000000000.0,,
FJ,A6005,FJ A6005 BHZ ,25.960000,119.220000,0.0,70000000000.0,,
LN,B0056,LN B0056 BHZ ,39.340000,122.330000,0.0,70000000000.0,,
SD,Q007A,SD Q007A BHZ ,35.340000,117.850000,0.0,70000000000.0,,
SC,B2306,SC B2306 BHZ ,31.140000,105.440000,0.0,70000000000.0,,
TJ,BL001,TJ BL001 BHZ ,39.070000,117.280000,0.0,70000000000.0,,
GS,D003E,GS D003E BHZ ,36.660000,105.020000,0.0,70000000000.0,,
HA,HLQKW,HA HLQKW BHZ ,35.770000,115.010000,0.0,70000000000.0,,
XJ,N0011,XJ N0011 BHZ ,41.340000,80.150000,0.0,70000000000.0,,
YN,LW001,YN LW001 BHZ ,25.360000,100.030000,0.0,70000000000.0,,
SC,T2502,SC T2502 BHZ ,30.120000,102.740000,0.0,70000000000.0,,
XJ,Q0026,XJ Q0026 BHZ ,39.710000,77.910000,0.0,70000000000.0,,
XJ,QY003,XJ QY003 BHZ ,39.190000,77.330000,0.0,70000000000.0,,
SC,Q2501,SC Q2501 BHZ ,28.540000,104.690000,0.0,70000000000.0,,
GS,E0050,GS E0050 BHZ ,34.600000,104.900000,0.0,70000000000.0,,
HE,E0008,HE E0008 BHZ ,37.510000,114.490000,0.0,70000000000.0,,
HE,B0124,HE B0124 BHZ ,40.070000,118.180000,0.0,70000000000.0,,
FJ,J6005,FJ J6005 BHZ ,27.230000,119.920000,0.0,70000000000.0,,
SC,E0301,SC E0301 BHZ ,28.660000,105.480000,0.0,70000000000.0,,
XJ,GLXAK,XJ GLXAK BHZ ,43.460000,81.900000,0.0,70000000000.0,,
HE,B0001,HE B0001 BHZ ,39.030000,118.470000,0.0,70000000000.0,,
GS,D0031,GS D0031 BHZ ,36.420000,105.050000,0.0,70000000000.0,,
HE,B1004,HE B1004 BHZ ,39.980000,118.260000,0.0,70000000000.0,,
SD,R005C,SD R005C BHZ ,35.710000,115.770000,0.0,70000000000.0,,
XJ,Q0088,XJ Q0088 BHZ ,38.860000,76.260000,0.0,70000000000.0,,
HE,A0060,HE A0060 BHZ ,38.260000,113.980000,0.0,70000000000.0,,
YN,C2238,YN C2238 BHZ ,27.150000,103.200000,0.0,70000000000.0,,
QH,E0023,QH E0023 BHZ ,36.120000,101.200000,0.0,70000000000.0,,
XJ,F0078,XJ F0078 BHZ ,43.820000,81.840000,0.0,70000000000.0,,
HE,SHZ,HE SHZ BHZ ,38.070000,115.560000,0.0,70000000000.0,,
QH,C0024,QH C0024 BHZ ,37.350000,101.610000,0.0,70000000000.0,,
SD,E0011,SD E0011 BHZ ,37.670000,118.680000,0.0,70000000000.0,,
SC,V2401,SC V2401 BHZ ,28.880000,101.190000,0.0,70000000000.0,,
SN,E0047,SN E0047 BHZ ,34.930000,109.980000,0.0,70000000000.0,,
YN,E2505,YN E2505 BHZ ,25.530000,101.380000,0.0,70000000000.0,,
BJ,C0006,BJ C0006 BHZ ,39.940000,116.470000,0.0,70000000000.0,,
XJ,F007C,XJ F007C BHZ ,43.950000,81.500000,0.0,70000000000.0,,
SX,M0107,SX M0107 BHZ ,34.740000,110.780000,0.0,70000000000.0,,
GS,E002F,GS E002F BHZ ,34.560000,105.420000,0.0,70000000000.0,,
YN,SCY03,YN SCY03 BHZ ,23.310000,99.510000,0.0,70000000000.0,,
SC,WC001,SC WC001 BHZ ,27.700000,102.320000,0.0,70000000000.0,,
GS,N0033,GS N0033 BHZ ,35.220000,103.650000,0.0,70000000000.0,,
HE,T0022,HE T0022 BHZ ,37.580000,116.090000,0.0,70000000000.0,,
SD,C001F,SD C001F BHZ ,36.880000,118.220000,0.0,70000000000.0,,
NX,C002D,NX C002D BHZ ,36.710000,106.330000,0.0,70000000000.0,,
YN,C2733,YN C2733 BHZ ,27.620000,105.220000,0.0,70000000000.0,,
BJ,ES004,BJ ES004 BHZ ,39.920000,116.200000,0.0,70000000000.0,,
XJ,BC003,XJ BC003 BHZ ,44.110000,87.280000,0.0,70000000000.0,,
FJ,E6203,FJ E6203 BHZ ,24.020000,117.270000,0.0,70000000000.0,,
XJ,E0002,XJ E0002 BHZ ,44.440000,81.830000,0.0,70000000000.0,,
XJ,M0006,XJ M0006 BHZ ,42.180000,87.060000,0.0,70000000000.0,,
SC,51ZG3,SC 51ZG3 BHZ ,29.340000,104.740000,0.0,70000000000.0,,
HE,A0109,HE A0109 BHZ ,38.220000,114.620000,0.0,70000000000.0,,
HE,JJ002,HE JJ002 BHZ ,38.310000,116.750000,0.0,70000000000.0,,
SN,E0075,SN E0075 BHZ ,35.220000,109.840000,0.0,70000000000.0,,
FJ,E6322,FJ E6322 BHZ ,24.050000,117.700000,0.0,70000000000.0,,
GS,P000D,GS P000D BHZ ,33.680000,101.560000,0.0,70000000000.0,,
YN,R0116,YN R0116 BHZ ,27.640000,99.740000,0.0,70000000000.0,,
XJ,AT001,XJ AT001 BHZ ,43.840000,87.710000,0.0,70000000000.0,,
SC,MGLH,SC MGLH BHZ ,28.140000,103.210000,0.0,70000000000.0,,
SC,51LSL,SC 51LSL BHZ ,29.530000,103.820000,0.0,70000000000.0,,
YN,C2715,YN C2715 BHZ ,27.750000,104.920000,0.0,70000000000.0,,
QH,C0052,QH C0052 BHZ ,37.780000,100.300000,0.0,70000000000.0,,
GD,A1105,GD A1105 BHZ ,23.160000,113.200000,0.0,70000000000.0,,
